balise,map,odometry,imu,gnss_open,secure,unsafe,fused,lateral_secure,lateral_unsafe,fused_lat,fused_2d,secure_interval_additive_p99
0.0838309263829615,-0.003107836887462949,0.378131076102471,-0.14971971904837428,-0.0,0.45885416559796954,-0.14971971904837428,0.45885416559796954,0.038420491154102066,-0.0,1.3714910594211036e-10,0.45885416559796954,2.2245469594257608
0.12757667074936052,-0.008923733775247425,0.04940342660956008,0.5876107635609863,-0.0,0.1680563635836732,0.5876107635609863,0.1680563635836732,0.05796532879170828,-0.0,2.069180476516232e-10,0.1680563635836732,2.2245469594257608
0.20432926517931055,0.01796283954560975,-0.7512119006505528,0.08573387195924463,0.0,-0.5289197959256324,0.08573387195924463,-0.5289197959256324,0.05561776543459556,0.0,1.9853798259001106e-10,0.5289197959256324,2.2245469594257608
0.1694459116779884,0.030904710828220598,0.16410666354387515,-0.08734475156005286,-0.0,0.36445728605008415,-0.08734475156005286,0.36445728605008415,0.02492701550247352,0.0,8.898162900253189e-11,0.36445728605008415,2.2245469594257608
0.020121151646888245,-0.019149522087535224,-0.20410672868122956,-0.012092228276746228,0.0,-0.20313509912187655,-0.012092228276746228,-0.20313509912187655,0.015626549230999036,-0.0,5.578188075201295e-11,0.20313509912187655,2.2245469594257608
0.059058758207202224,-0.0034344901256655705,-1.343806452127093,0.0862522096757247,-0.0,-1.2881821840455563,0.0862522096757247,-1.2881821840455563,0.04027264065923118,-0.0,1.4376069889860642e-10,1.2881821840455563,2.2245469594257608
0.19343814741741677,-0.00809868087624396,-0.9338461139779415,-0.011283587706370758,0.0,-0.7485066474367688,-0.011283587706370758,-0.7485066474367688,0.011193679721178903,-0.0,3.995792661276553e-11,0.7485066474367688,2.2245469594257608
0.05863403081686909,0.009531386404258175,0.7566722046604379,0.15990832540038627,-0.0,0.8248376218815653,0.15990832540038627,0.8248376218815653,0.04365155619292882,-0.0,1.5582236783047436e-10,0.8248376218815653,2.2245469594257608
0.03280194512100943,0.044113502999938825,-0.22981306892992648,-0.14494139603313036,0.0,-0.15289762080897823,-0.14494139603313036,-0.15289762080897823,0.019823576350452454,-0.0,7.076395151053238e-11,0.15289762080897823,2.2245469594257608
0.15851991901252196,-0.009619493948094731,-0.4798147475398245,0.49291237004992894,0.0,-0.33091432247539726,0.49291237004992894,-0.33091432247539726,0.026770619807318586,-0.0,9.556271827352447e-11,0.33091432247539726,2.2245469594257608
0.043061382880891536,0.009842296291445871,0.9313363369019364,-0.10647887285010836,-0.0,0.9842400160742738,-0.10647887285010836,0.9842400160742738,0.04253330452290683,-0.0,1.5183056001764234e-10,0.9842400160742738,2.2245469594257608
0.20706666806023377,-0.01384374415237338,1.6161590564832997,0.3207413612098406,-0.0,1.8093819803911602,0.3207413612098406,1.8093819803911602,0.02715714560330884,-0.0,9.694249416267175e-11,1.8093819803911602,2.2245469594257608
0.07327066348737306,-0.0062612166852501075,-0.09002555012773628,0.0859142267293501,0.0,-0.023016103325613324,0.0859142267293501,-0.023016103325613324,0.052953788983901295,-0.0,1.8902842200167522e-10,0.023016103325613324,2.2245469594257608
0.11851987158488371,-0.019716707587939634,0.4978378040110657,-0.42373638916753975,0.0,0.5966409680080098,-0.42373638916753975,0.5966409680080098,0.08359938117052555,0.0,2.984235765978e-10,0.5966409680080098,2.2245469594257608
0.06125552739113413,0.008990158576393506,0.014099304832351172,0.3526543804456522,0.0,0.0843449907998788,0.3526543804456522,0.0843449907998788,0.009893970345991248,-0.0,3.5318371692017624e-11,0.0843449907998788,2.2245469594257608
0.05140043058367626,-0.006980008776128698,0.8285855030772271,0.6525283418488723,0.0,0.8730059248847747,0.6525283418488723,0.8730059248847747,0.015565288065764184,0.0,5.5563197601731707e-11,0.8730059248847747,2.2245469594257608
0.18432571959208302,-0.01355830470036415,-1.5816463680173138,0.07776252039823091,0.0,-1.410878953125595,0.07776252039823091,-1.410878953125595,0.02807371365894481,0.0,1.002143547138909e-10,1.410878953125595,2.2245469594257608
0.11010930665528953,0.03631074970771876,-1.670143272956415,0.0010984653701771063,-0.0,-1.5237232165934065,0.0010984653701771063,-1.5237232165934065,0.03238393359306565,-0.0,1.1560048832700637e-10,1.5237232165934065,2.2245469594257608
0.1551160443262736,0.027383409495009177,0.7027644971150144,0.07063092757739714,-0.0,0.8852639509362972,0.07063092757739714,0.8852639509362972,0.01678289158108396,-0.0,5.990966034861016e-11,0.8852639509362972,2.2245469594257608
0.045241465206999884,-0.002089547897024423,-0.217044865625879,0.11681624603738304,-0.0,-0.17389294831590352,0.11681624603738304,-0.17389294831590352,0.0070428468098443844,0.0,2.5140754692155267e-11,0.17389294831590352,2.2245469594257608
0.15413295012589687,-0.025285164881479,0.32794076389912674,0.17131093968849304,-0.0,0.4567885491435446,0.17131093968849304,0.4567885491435446,0.008117589461283412,-0.0,2.8977248951728995e-11,0.4567885491435446,2.2245469594257608
0.04520418644111332,-0.006224355092804767,-0.09933431171212122,0.0007866422760193395,0.0,-0.06035448036381266,0.0007866422760193395,-0.06035448036381266,0.03630375975651298,0.0,1.2959303859423262e-10,0.06035448036381266,2.2245469594257608
0.07498379455984294,0.005171382746725521,0.13563559990872623,-0.07515704002618045,-0.0,0.2157907772152947,-0.07515704002618045,0.2157907772152947,0.0354444825633608,-0.0,1.2652568845743757e-10,0.2157907772152947,2.2245469594257608
0.14115677323822107,0.01897650414378037,-0.7888244124566025,-0.06073447959091242,0.0,-0.6286911350746011,-0.06073447959091242,-0.6286911350746011,0.019845859947222412,0.0,7.084349696355421e-11,0.6286911350746011,2.2245469594257608
