param,src,abs_src
odometry,0.05716875637386277,0.05716875637386277
gnss_open,0.05077711810138267,0.05077711810138267
imu,0.041268880893463575,0.041268880893463575
balise,0.011334454162609678,0.011334454162609678
map,0.003806108981270534,0.003806108981270534
