param,prcc,abs_prcc
gnss_open,0.9465197596958087,0.9465197596958087
odometry,0.9058518293120352,0.9058518293120352
imu,0.8791891635012948,0.8791891635012948
balise,0.14222986003805277,0.14222986003805277
map,0.06522846176479827,0.06522846176479827
