param,threshold_q95,es_base_q95,es_low_q95,es_high_q95,delta_es_q95,low_count,high_count,tail_low_count,tail_high_count
odometry,0.7815373366695673,0.9325867258734891,0.9352231807717566,0.9559316645000341,0.020708483728277494,2000,2000,139,203
gnss_open,0.7815373366695673,0.9325867258734891,0.9325446477223733,0.9479480526666502,0.015403404944276833,2000,2000,181,247
map,0.7815373366695673,0.9325867258734891,0.9379979778368961,0.9235604575744805,-0.014437520262415626,2000,2000,97,92
imu,0.7815373366695673,0.9325867258734891,0.9272654456043065,0.9411226044584219,0.013857158854115426,2000,2000,133,193
balise,0.7815373366695673,0.9325867258734891,0.9226030051365744,0.929727462002816,0.007124456866241524,2000,2000,103,108
