param,S1,S1_conf,ST,ST_conf,estimator
sensors.odometry.drift_per_km_m,-0.16595063881047434,0.2718959158916755,0.9099713730433561,0.2738564230390964,jansen_fallback
sensors.gnss.modes.open.noise_lat.std,-0.3717066733133876,0.35894676416641225,0.8846347015910222,0.2896572922358144,jansen_fallback
sensors.map.longitudinal.ref_error.std,0.03855913917020792,0.2824232127750098,0.8667577208901236,0.24157522436340417,jansen_fallback
sensors.gnss.modes.open.bias_lat.std,-0.23573614076801275,0.39210933162005246,0.8122545005915023,0.244546475937677,jansen_fallback
sensors.imu.accel_bias_mps2.std,0.28901253673826677,0.1681840799742083,0.7610396136536133,0.2419786308934613,jansen_fallback
sensors.balise.multipath_tail_m.cap,-0.25406472619199416,0.3223935021779584,0.7386977021423469,0.1753281108036088,jansen_fallback
sensors.gnss.modes.open.noise.std,-0.13250243448177912,0.24191152716637213,0.7153894916188916,0.2037920440957724,jansen_fallback
sensors.balise.latency_ms.std,0.04636320436187524,0.26231315805827743,0.7046192472576199,0.21263515816112102,jansen_fallback
sensors.gnss.modes.open.bias.std,0.22067116967766842,0.22045472406346583,0.6422725521308994,0.18496377617085347,jansen_fallback
