param,S1,S1_conf,ST,ST_conf,estimator
sensors.gnss.modes.open.bias_lat.std,-0.25378898149125706,0.34336261279920605,1.158780198975952,0.33203409612789275,jansen_fallback
sensors.odometry.drift_per_km_m,0.06361226093863981,0.22800594868272006,0.948917169264997,0.28688347817773446,jansen_fallback
sensors.imu.accel_bias_mps2.std,0.05372487447804519,0.21988421986568846,0.910813178868946,0.27652283721857823,jansen_fallback
sensors.gnss.modes.open.bias.std,0.018607451327852798,0.2433389063531593,0.9033003835193492,0.24661562758253153,jansen_fallback
sensors.map.longitudinal.ref_error.std,-0.23588369259908615,0.3326548125841183,0.8524896086954917,0.17871056642129943,jansen_fallback
sensors.balise.latency_ms.std,-0.2559145739497384,0.22716864839106318,0.8066357549641843,0.19923381657132774,jansen_fallback
sensors.gnss.modes.open.noise_lat.std,-0.18624892477885502,0.277123562478913,0.7031657676741259,0.18884558601211648,jansen_fallback
sensors.balise.multipath_tail_m.cap,-0.1483963719827166,0.3406629938921118,0.7016368740850469,0.17740591818828977,jansen_fallback
sensors.gnss.modes.open.noise.std,-0.1840629236864617,0.2423719221058098,0.5612682551244984,0.09345066998641881,jansen_fallback
