param,baseline_q95,low_q95,high_q95,delta_q95,low_count,high_count,low_frac,high_frac
gnss_open,0.683152786319096,0.1392056172253007,0.9427077420135659,0.8035021247882652,2000,2000,0.2,0.2
odometry,0.683152786319096,0.3354007512902752,0.9287223156908895,0.5933215644006142,2000,2000,0.2,0.2
imu,0.683152786319096,0.38286629752430557,0.891839470668495,0.5089731731441894,2000,2000,0.2,0.2
balise,0.683152786319096,0.6432626522852836,0.7113799028686312,0.06811725058334761,2000,2000,0.2,0.2
map,0.683152786319096,0.6625517190939274,0.6789252373191337,0.016373518225206274,2000,2000,0.2,0.2
