param,src,abs_src
gnss_open,0.7134779414413407,0.7134779414413407
odometry,0.5259530362002212,0.5259530362002212
imu,0.4563830838300689,0.4563830838300689
balise,0.04163401047852351,0.04163401047852351
map,0.01651971120016003,0.01651971120016003
