param,S1,S1_conf,ST,ST_conf,estimator
sensors.gnss.modes.open.bias_lat.std,-0.250738513926162,0.3618998560455414,1.1569037741622623,0.34327359209275526,jansen_fallback
sensors.odometry.drift_per_km_m,0.06406536497751703,0.25637438082019065,0.9484085457668847,0.2765999051464715,jansen_fallback
sensors.imu.accel_bias_mps2.std,0.05279634418320378,0.21015783198542948,0.9126686641326281,0.26084307923662237,jansen_fallback
sensors.gnss.modes.open.bias.std,0.019937741812290688,0.22755991368341302,0.9020370745221543,0.24432682189574137,jansen_fallback
sensors.map.longitudinal.ref_error.std,-0.2331652952563006,0.3279101987313193,0.8502062703364932,0.1999418861204006,jansen_fallback
sensors.balise.latency_ms.std,-0.2552692520383206,0.27006490752787515,0.809083268321911,0.21733595885963264,jansen_fallback
sensors.gnss.modes.open.noise_lat.std,-0.18350103826776465,0.2950462558167821,0.7016075364261496,0.20752691904490805,jansen_fallback
sensors.balise.multipath_tail_m.cap,-0.1472776573763177,0.32423181149397523,0.7001316358846077,0.17427766287716173,jansen_fallback
sensors.gnss.modes.open.noise.std,-0.1854175061859562,0.2563254772840522,0.5612319617875667,0.11060365361120654,jansen_fallback
