t_s,p99_additive,p99_joint,bias_pct
1.0,0.07102278237524187,0.06794608841672553,4.528139927123442
2.0,0.07229366935341879,0.06782087690714798,6.595008278047487
3.0,0.07333197607130668,0.06812618058339776,7.641402238213191
4.0,0.07421742050827938,0.06800123586023854,9.141281874371865
5.0,0.0750742872807734,0.0681265381003395,10.198300653705573
6.0,0.07561281068292139,0.06864133434804745,10.156382303882538
7.0,0.07634169235913099,0.06849228056542363,11.460286807371855
8.0,0.07705978255484898,0.06865426435080708,12.243257259435026
9.0,0.07754393877247204,0.0686870445640975,12.894562962465873
10.0,0.07815312413738942,0.06821213451606895,14.5736380951085
11.0,0.07845509598765082,0.0687778167371332,14.070349583069653
12.0,0.07894076832814634,0.06871209461726918,14.88627841699708
13.0,0.0793204656206489,0.06870955437881196,15.443137912576876
14.0,0.0794045198370696,0.06875173061681986,15.494576099650326
15.0,0.08003505322472314,0.06873877589606363,16.43363179137789
16.0,0.0804052638941968,0.06867433764093457,17.081964903102033
17.0,0.080750311872785,0.0686763962977822,17.580881097269675
18.0,0.08124461139721662,0.06885446699011964,17.994684947419472
19.0,0.081253035453433,0.06859208126176097,18.458332155508316
20.0,0.0817303361161041,0.06829930575296414,19.664958838263246
21.0,0.08203008072129161,0.06836914476511462,19.981142082601423
22.0,0.0822160951089011,0.0688143701066149,19.475183717474653
23.0,0.08273226930369303,0.06892745486284893,20.0280345013649
24.0,0.08301732655317796,0.07048575401010723,17.778872793605615
25.0,0.21850463274868426,0.15199643359003048,43.75642085000611
26.0,0.2517266494762301,0.18436067502180167,36.540316662684155
27.0,0.2675916224650612,0.1996330246887308,34.04176131794423
28.0,0.27341871062921,0.2072832528506116,31.905837480397924
29.0,0.27846163780545974,0.21167090275175243,31.554046486984298
30.0,0.2833895282856231,0.21851159090028754,29.690844827971176
31.0,0.2860319632342971,0.22192825131283278,28.884881281339393
32.0,0.2897256727179349,0.2249118079017573,28.817457571853524
33.0,0.29383517637102485,0.227358193655532,29.23887705415684
34.0,0.2951469141841145,0.23046051698957712,28.068320786359635
35.0,0.2954989819708847,0.2320176589456333,27.36055665492532
36.0,0.2972443416568877,0.23254719780348382,27.821080823376242
